RecordIndex,InUse,Type,Filename,Ext,Size,Parents,Time_MFT,Time_Create,Time_Alter,Time_Read,Att_Archive,Att_Compressed,Att_Device,Att_Encrypted,Att_Hidden,Att_Normal,Att_NotIndexed,Att_Offline,Att_Readonly,Att_Reparse,Att_Sparse,Att_System,Att_Temp,USN,Hardlinks,ADS,ZoneId,ReferrerUrl,HostUrl
0,"True","File","$MFT","",262144,"5","2010-05-19 00:30:35","2010-05-19 00:30:35","2010-05-19 00:30:35","2010-05-19 00:30:35","False","False","False","False","True","False","False","False","False","False","False","True","False",0,1,"","","",""
1,"True","File","$MFTMirr","",4096,"5","2010-05-19 00:30:35","2010-05-19 00:30:35","2010-05-19 00:30:35","2010-05-19 00:30:35","False","False","False","False","True","False","False","False","False","False","False","True","False",0,1,"","","",""
2,"True","File","$LogFile","",2097152,"5","2010-05-19 00:30:35","2010-05-19 00:30:35","2010-05-19 00:30:35","2010-05-19 00:30:35","False","False","False","False","True","False","False","False","False","False","False","True","False",0,1,"","","",""
3,"True","File","$Volume","",0,"5","2010-05-19 00:30:35","2010-05-19 00:30:35","2010-05-19 00:30:35","2010-05-19 00:30:35","False","False","False","False","True","False","False","False","False","False","False","True","False",281578055925840,1,"","","",""
4,"True","File","$AttrDef","",2560,"5","2010-05-19 00:30:35","2010-05-19 00:30:35","2010-05-19 00:30:35","2010-05-19 00:30:35","False","False","False","False","True","False","False","False","False","False","False","True","False",281578055925842,1,"","","",""
5,"True","Directory",".","",0,"5","2010-05-19 00:33:19","2010-05-19 00:30:35","2010-05-19 00:33:19","2010-05-19 00:33:19","False","False","False","False","True","False","False","False","False","False","False","True","False",281578055925828,1,"","","",""
6,"True","File","$Bitmap","",496,"5","2010-05-19 00:30:35","2010-05-19 00:30:35","2010-05-19 00:30:35","2010-05-19 00:30:35","False","False","False","False","True","False","False","False","False","False","False","True","False",0,1,"","","",""
7,"True","File","$Boot","",8192,"5","2010-05-19 00:30:35","2010-05-19 00:30:35","2010-05-19 00:30:35","2010-05-19 00:30:35","False","False","False","False","True","False","False","False","False","False","False","True","False",281578055925836,1,"","","",""
8,"True","File","$BadClus","",0,"5","2010-05-19 00:30:35","2010-05-19 00:30:35","2010-05-19 00:30:35","2010-05-19 00:30:35","False","False","False","False","True","False","False","False","False","False","False","True","False",0,1,"$Bad","","",""
9,"True","File","$Secure","",0,"5","2010-05-19 00:30:35","2010-05-19 00:30:35","2010-05-19 00:30:35","2010-05-19 00:30:35","False","False","False","False","True","False","False","False","False","False","False","True","False",0,1,"$SDS","","",""
10,"True","File","$UpCase","",131072,"5","2010-05-19 00:30:35","2010-05-19 00:30:35","2010-05-19 00:30:35","2010-05-19 00:30:35","False","False","False","False","True","False","False","False","False","False","False","True","False",0,1,"","","",""
11,"True","Directory","$Extend","",0,"5","2010-05-19 00:30:35","2010-05-19 00:30:35","2010-05-19 00:30:35","2010-05-19 00:30:35","False","False","False","False","True","False","False","False","False","False","False","True","False",0,1,"","","",""
12,"True","File","","",0,"","2010-05-19 00:30:35","2010-05-19 00:30:35","2010-05-19 00:30:35","2010-05-19 00:30:35","False","False","False","False","True","False","False","False","False","False","False","True","False",103079215220,0,"","","",""
13,"True","File","","",0,"","2010-05-19 00:30:35","2010-05-19 00:30:35","2010-05-19 00:30:35","2010-05-19 00:30:35","False","False","False","False","True","False","False","False","False","False","False","True","False",103079215220,0,"","","",""
14,"True","File","","",0,"","2010-05-19 00:30:35","2010-05-19 00:30:35","2010-05-19 00:30:35","2010-05-19 00:30:35","False","False","False","False","True","False","False","False","False","False","False","True","False",103079215220,0,"","","",""
15,"True","File","","",0,"","2010-05-19 00:30:35","2010-05-19 00:30:35","2010-05-19 00:30:35","2010-05-19 00:30:35","False","False","False","False","True","False","False","False","False","False","False","True","False",103079215220,0,"","","",""
24,"True","File","$Quota","",0,"11","2010-05-19 00:30:45","2010-05-19 00:30:45","2010-05-19 00:30:45","2010-05-19 00:30:45","True","False","False","False","True","False","False","False","False","False","False","True","False",0,1,"","","",""
25,"True","File","$ObjId","",0,"11","2010-05-19 00:30:45","2010-05-19 00:30:45","2010-05-19 00:30:45","2010-05-19 00:30:45","True","False","False","False","True","False","False","False","False","False","False","True","False",0,1,"","","",""
26,"True","File","$Reparse","",0,"11","2010-05-19 00:30:45","2010-05-19 00:30:45","2010-05-19 00:30:45","2010-05-19 00:30:45","True","False","False","False","True","False","False","False","False","False","False","True","False",0,1,"","","",""
27,"True","Directory","$RmMetadata","",0,"11","2010-05-19 00:30:45","2010-05-19 00:30:45","2010-05-19 00:30:45","2010-05-19 00:30:45","False","False","False","False","True","False","False","False","False","False","False","True","False",0,1,"","","",""
28,"True","File","$Repair","",0,"27","2010-05-19 00:30:45","2010-05-19 00:30:45","2010-05-19 00:30:45","2010-05-19 00:30:45","True","False","False","False","True","False","False","False","False","False","False","True","False",0,1,"$Config","","",""
29,"True","Directory","$TxfLog","",0,"27","2010-05-19 00:30:45","2010-05-19 00:30:45","2010-05-19 00:30:45","2010-05-19 00:30:45","False","False","False","False","True","False","False","False","False","False","False","True","False",0,1,"","","",""
30,"True","Directory","$Txf","",0,"27","2010-05-19 00:30:45","2010-05-19 00:30:45","2010-05-19 00:30:45","2010-05-19 00:30:45","False","False","False","False","True","False","False","False","False","False","False","True","False",0,1,"","","",""
31,"True","File","$Tops","",100,"29","2010-05-19 00:30:45","2010-05-19 00:30:45","2010-05-19 00:30:45","2010-05-19 00:30:45","True","False","False","False","True","False","False","False","False","False","False","True","False",0,1,"$T","","",""
32,"True","File","$TxfLog.blf",".blf",65536,"29","2010-05-19 00:33:29","2010-05-19 00:30:47","2010-05-19 00:33:29","2010-05-19 00:30:47","True","False","False","False","False","False","False","False","False","False","False","False","False",0,1,"","","",""
33,"True","File","$TxfLogContainer00000000000000000001","",1048576,"29","2010-05-19 00:33:29","2010-05-19 00:30:48","2010-05-19 00:33:29","2010-05-19 00:30:48","True","False","False","False","False","False","False","False","False","False","False","False","False",0,2,"","","",""
34,"True","File","$TxfLogContainer00000000000000000002","",1048576,"29","2010-05-19 00:33:29","2010-05-19 00:30:50","2010-05-19 00:33:29","2010-05-19 00:30:50","True","False","False","False","False","False","False","False","False","False","False","False","False",0,2,"","","",""
35,"True","File","carpenter.png",".png",9970,"5","2010-05-19 00:31:41","2010-05-18 23:47:54","2010-05-19 00:31:41","2010-05-18 23:47:54","True","False","False","False","False","False","False","False","False","False","False","False","False",0,2,"Zone.Identifier","3","",""
36,"True","File","caught.jpg",".jpg",11765,"5","2010-05-19 00:31:48","2010-05-18 23:49:08","2010-05-19 00:31:48","2010-05-18 23:49:08","True","False","False","False","False","False","False","False","False","False","False","False","False",0,1,"Zone.Identifier","3","",""
37,"True","File","evidence.jpg",".jpg",13862,"5","2010-05-19 00:31:55","2010-05-18 23:48:40","2010-05-19 00:31:55","2010-05-18 23:48:40","True","False","False","False","False","False","False","False","False","False","False","False","False",0,1,"Zone.Identifier","3","",""
38,"False","File","key","",0,"5","2010-05-19 00:31:59","2010-05-18 22:45:50","2010-05-19 00:31:59","2010-05-18 22:45:50","True","False","False","False","False","False","False","False","False","False","False","False","False",0,1,"Zone.Identifier","3","",""
39,"True","File","images.jpg",".jpg",4378,"5","2010-05-19 00:33:08","2010-05-19 00:21:00","2010-05-19 00:33:08","2010-05-19 00:21:00","True","False","False","False","False","False","False","False","False","False","False","False","False",0,1,"Zone.Identifier","3","",""
40,"True","File","whiteflag.jpg",".jpg",1929,"5","2010-05-19 00:32:41","2010-05-18 23:51:26","2010-05-19 00:32:41","2010-05-18 23:51:26","True","False","False","False","False","False","False","False","False","False","False","False","False",0,2,"Zone.Identifier","3","",""
41,"True","File","furries.jpg",".jpg",36947,"5","2010-05-19 00:32:45","2010-05-18 23:38:20","2010-05-19 00:32:45","2010-05-18 23:38:20","True","False","False","False","False","False","False","False","False","False","False","False","False",0,1,"Zone.Identifier","3","",""
42,"True","File","2009040811380736734_115018_0.jpg",".jpg",33383,"5","2010-05-19 00:32:49","2010-05-18 23:52:26","2010-05-19 00:32:49","2010-05-18 23:52:26","True","False","False","False","False","False","False","False","False","False","False","False","False",0,2,"Zone.Identifier","3","",""
